county_name,crime_count
Appling,5011
Atkinson,7314
Bacon,2740
Baker,2830
Baldwin,20588
Banks,8927
Barrow,4827
Bartow,33448
Ben Hill,2220
Berrien,9538
Bibb,23201
Bleckley,4981
Brantley,6026
Brooks,7140
Bryan,5854
Bulloch,22441
Burke,5020
Butts,4296
Calhoun,4056
Camden,5410
Candler,4993
Carroll,31932
Catoosa,27495
Charlton,2488
Chatham,32150
Chattahoochee,1181
Chattooga,10579
Cherokee,16934
Clarke,17532
Clay,2889
Clayton,8024
Clinch,2164
Cobb,71779
Coffee,31374
Colquitt,10348
Columbia,4807
Cook,10919
Coweta,26906
Crawford,2510
Crisp,18900
Dade,6189
Dawson,8851
Decatur,15972
Dekalb,11696
Dodge,8188
Dooly,11724
Dougherty,18055
Douglas,24978
Early,4930
Echols,1872
Effingham,8081
Elbert,7783
Emanuel,14059
Evans,4052
Fannin,13883
Fayette,1091
Floyd,16974
Forsyth,8150
Franklin,10358
Fulton,108085
G047,1
G059,1
G115,1
G139,2
G143,1
G213,2
G223,1
Gilmer,6933
Glascock,503
Glynn,23299
Gordon,24386
Grady,10653
Greene,4285
Gwinnett,70789
Habersham,14968
Hall,37677
Hancock,3514
Haralson,17310
Harris,12280
Hart,9693
Heard,1567
Henry,4497
Houston,27949
Irwin,2949
Jackson,12699
Jasper,2379
Jeff Davis,4011
Jefferson,3136
Jenkins,6432
Johnson,4777
Jones,3800
Lamar,5538
Lanier,5446
Laurens,21421
Lee,14527
Liberty,13233
Lincoln,1677
Long,10452
Lowndes,39732
Lumpkin,12361
Macon,3850
Madison,6432
Marion,4562
Mcduffie,10422
Mcintosh,4987
Meriwether,14686
Miller,5855
Mitchell,6843
Monroe,6404
Montgomery,2905
Morgan,13954
Murray,16667
Muscogee,14165
Newton,23243
Oconee,11814
Oglethorpe,7265
Paulding,27665
Peach,7759
Pickens,14817
Pierce,8349
Pike,3743
Polk,9203
Pulaski,3662
Putnam,13995
Quitman,1029
Rabun,5435
Randolph,9727
Richmond,18468
Rockdale,5499
Schley,3854
Screven,8597
Seminole,4322
Spalding,27177
Stephens,11635
Stewart,5252
Sumter,19541
Talbot,6461
Taliaferro,1935
Tattnall,8302
Taylor,2082
Telfair,5533
Terrell,5949
Thomas,13019
Tift,27083
Toombs,12628
Towns,2333
Treutlen,4789
Troup,22406
Turner,4839
Twiggs,3028
Union,5461
Upson,19900
Walker,23012
Walton,23373
Ware,4829
Warren,3054
Washington,5861
Wayne,7675
Webster,5665
Wheeler,6621
White,2628
Whitfield,27269
Wilcox,4409
Wilkes,12702
Wilkinson,1974
Worth,6543
